Compound Name,DiscoveRx Gene Symbol,Entrez Gene Symbol,Percent Control,Compound Concentration (nM)
3.1B,ATAD2A,ATAD2,92,1000
3.1B,ATAD2B,ATAD2B,100,1000
3.1B,BAZ2A,BAZ2A,15,1000
3.1B,BAZ2B,BAZ2B,100,1000
3.1B,BRD1,BRD1,100,1000
3.1B,BRD2(1),BRD2,21,1000
3.1B,BRD2(2),BRD2,100,1000
3.1B,BRD3(1),BRD3,1.4,1000
3.1B,BRD3(2),BRD3,100,1000
3.1B,BRD4(1),BRD4,0.2,1000
3.1B,BRD4(2),BRD4,99,1000
3.1B,BRD7,BRD7,99,1000
3.1B,BRD9,BRD9,100,1000
3.1B,BRDT(1),BRDT,0,1000
3.1B,BRDT(2),BRDT,100,1000
3.1B,BRPF1,BRPF1,100,1000
3.1B,BRPF3,BRPF3,100,1000
3.1B,CECR2,CECR2,100,1000
3.1B,CREBBP,CREBBP,100,1000
3.1B,EP300,EP300,100,1000
3.1B,FALZ,BPTF,73,1000
3.1B,GCN5L2,KAT2A,100,1000
3.1B,PBRM1(2),PBRM1,100,1000
3.1B,PBRM1(5),PBRM1,100,1000
3.1B,PCAF,KAT2B,94,1000
3.1B,SMARCA2,SMARCA2,34,1000
3.1B,SMARCA4,SMARCA4,77,1000
3.1B,TAF1(2),TAF1,82,1000
3.1B,TAF1L(2),TAF1L,100,1000
3.1B,"TRIM24(PHD,Bromo.)",TRIM24,91,1000
3.1B,"TRIM33(PHD,Bromo.)",TRIM33,100,1000
3.1B,WDR9(2),BRWD1,96,1000
3.1C,ATAD2A,ATAD2,92,1000
3.1C,ATAD2B,ATAD2B,100,1000
3.1C,BAZ2A,BAZ2A,99,1000
3.1C,BAZ2B,BAZ2B,100,1000
3.1C,BRD1,BRD1,97,1000
3.1C,BRD2(1),BRD2,2.4,1000
3.1C,BRD2(2),BRD2,0.35,1000
3.1C,BRD3(1),BRD3,0,1000
3.1C,BRD3(2),BRD3,13,1000
3.1C,BRD4(1),BRD4,0,1000
3.1C,BRD4(2),BRD4,13,1000
3.1C,BRD7,BRD7,96,1000
3.1C,BRD9,BRD9,95,1000
3.1C,BRDT(1),BRDT,0,1000
3.1C,BRDT(2),BRDT,4.9,1000
3.1C,BRPF1,BRPF1,100,1000
3.1C,BRPF3,BRPF3,95,1000
3.1C,CECR2,CECR2,99,1000
3.1C,CREBBP,CREBBP,100,1000
3.1C,EP300,EP300,100,1000
3.1C,FALZ,BPTF,93,1000
3.1C,GCN5L2,KAT2A,100,1000
3.1C,PBRM1(2),PBRM1,100,1000
3.1C,PBRM1(5),PBRM1,89,1000
3.1C,PCAF,KAT2B,96,1000
3.1C,SMARCA2,SMARCA2,35,1000
3.1C,SMARCA4,SMARCA4,87,1000
3.1C,TAF1(2),TAF1,79,1000
3.1C,TAF1L(2),TAF1L,100,1000
3.1C,"TRIM24(PHD,Bromo.)",TRIM24,94,1000
3.1C,"TRIM33(PHD,Bromo.)",TRIM33,100,1000
3.1C,WDR9(2),BRWD1,87,1000
4.2C,ATAD2A,ATAD2,85,1000
4.2C,ATAD2B,ATAD2B,100,1000
4.2C,BAZ2A,BAZ2A,100,1000
4.2C,BAZ2B,BAZ2B,99,1000
4.2C,BRD1,BRD1,84,1000
4.2C,BRD2(1),BRD2,85,1000
4.2C,BRD2(2),BRD2,17,1000
4.2C,BRD3(1),BRD3,100,1000
4.2C,BRD3(2),BRD3,96,1000
4.2C,BRD4(1),BRD4,96,1000
4.2C,BRD4(2),BRD4,24,1000
4.2C,BRD7,BRD7,97,1000
4.2C,BRD9,BRD9,89,1000
4.2C,BRDT(1),BRDT,85,1000
4.2C,BRDT(2),BRDT,92,1000
4.2C,BRPF1,BRPF1,100,1000
4.2C,BRPF3,BRPF3,92,1000
4.2C,CECR2,CECR2,99,1000
4.2C,CREBBP,CREBBP,100,1000
4.2C,EP300,EP300,100,1000
4.2C,FALZ,BPTF,96,1000
4.2C,GCN5L2,KAT2A,96,1000
4.2C,PBRM1(2),PBRM1,100,1000
4.2C,PBRM1(5),PBRM1,90,1000
4.2C,PCAF,KAT2B,100,1000
4.2C,SMARCA2,SMARCA2,36,1000
4.2C,SMARCA4,SMARCA4,63,1000
4.2C,TAF1(2),TAF1,67,1000
4.2C,TAF1L(2),TAF1L,100,1000
4.2C,"TRIM24(PHD,Bromo.)",TRIM24,98,1000
4.2C,"TRIM33(PHD,Bromo.)",TRIM33,100,1000
4.2C,WDR9(2),BRWD1,85,1000
