pdb_id,title,classification,organism,expression_system,method,structure_resolution,deposition_authors,uniprot_id,pdb_doi,status
3wne,Cyclic hexapeptide PKIDNG in complex with HIV-1 integrase,Viral Protein/Peptide,Human immunodeficiency virus type 1 (NEW YORK-5 ISOLATE),Escherichia coli,X-RAY DIFFRACTION,1.7,"Wielens, J., Chalmers, D.K., Parker, M.W.",P12497,10.2210/pdb3WNE/pdb,success
3zgc,crystal structure of the KEAP1-NEH2 complex,TRANSCRIPTION,Homo sapiens,Escherichia coli BL21(DE3),X-RAY DIFFRACTION,2.2,"Hoerer, S., Reinert, D., Ostmann, K., Hoevels, Y., Nar, H.",,10.2210/pdb3ZGC/pdb,success
3av9,Crystal structures of novel allosteric peptide inhibitors of HIV integrase in the LEDGF binding site,RECOMBINATION/INHIBITOR,Human immunodeficiency virus type 1 (NEW YORK-5 ISOLATE),Escherichia coli,X-RAY DIFFRACTION,1.7,"Peat, T.S., Deadman, J.J., Newman, J., Rhodes, D.I.",P12497,10.2210/pdb3AV9/pdb,success
3ava,Crystal structures of novel allosteric peptide inhibitors of HIV integrase in the LEDGF binding site,RECOMBINATION/INHIBITOR,Human immunodeficiency virus type 1 (NEW YORK-5 ISOLATE),Escherichia coli,X-RAY DIFFRACTION,1.7,"Peat, T.S., Deadman, J.J., Newman, J., Rhodes, D.I.",P12497,10.2210/pdb3AVA/pdb,success
3avb,Crystal structures of novel allosteric peptide inhibitors of HIV integrase in the LEDGF binding site,RECOMBINATION/INHIBITOR,Human immunodeficiency virus type 1 (NEW YORK-5 ISOLATE),Escherichia coli,X-RAY DIFFRACTION,1.85,"Peat, T.S., Deadman, J.J., Newman, J., Rhodes, D.I.",P12497,10.2210/pdb3AVB/pdb,success
3avf,Crystal structures of novel allosteric peptide inhibitors of HIV integrase in the LEDGF binding site,RECOMBINATION/INHIBITOR,Human immunodeficiency virus type 1 (NEW YORK-5 ISOLATE),Escherichia coli,X-RAY DIFFRACTION,1.7,"Peat, T.S., Deadman, J.J., Newman, J., Rhodes, D.I.",P12497,10.2210/pdb3AVF/pdb,success
3avg,Crystal structures of novel allosteric peptide inhibitors of HIV integrase in the LEDGF binding site,RECOMBINATION/INHIBITOR,Human immunodeficiency virus type 1 (NEW YORK-5 ISOLATE),Escherichia coli,X-RAY DIFFRACTION,1.7,"Peat, T.S., Deadman, J.J., Newman, J., Rhodes, D.I.",P12497,10.2210/pdb3AVG/pdb,success
3avh,Crystal structures of novel allosteric peptide inhibitors of HIV integrase in the LEDGF binding site,RECOMBINATION/INHIBITOR,Human immunodeficiency virus type 1 (NEW YORK-5 ISOLATE),Escherichia coli,X-RAY DIFFRACTION,1.88,"Peat, T.S., Deadman, J.J., Newman, J., Rhodes, D.I.",P12497,10.2210/pdb3AVH/pdb,success
3avi,Crystal structures of novel allosteric peptide inhibitors of HIV integrase in the LEDGF binding site,RECOMBINATION/INHIBITOR,Human immunodeficiency virus type 1 (NEW YORK-5 ISOLATE),Escherichia coli,X-RAY DIFFRACTION,1.7,"Peat, T.S., Deadman, J.J., Newman, J., Rhodes, D.I.",P03366,10.2210/pdb3AVI/pdb,success
3avj,Crystal structures of novel allosteric peptide inhibitors of HIV integrase in the LEDGF binding site,RECOMBINATION/INHIBITOR,Human immunodeficiency virus type 1 (NEW YORK-5 ISOLATE),Escherichia coli,X-RAY DIFFRACTION,1.7,"Peat, T.S., Deadman, J.J., Newman, J., Rhodes, D.I.",P12497,10.2210/pdb3AVJ/pdb,success
